mb;fee;;
20N0%;0,00%;;
20N0,1%;0,00%;;
20N0,2%;0,00%;;
20N0,3%;0,00%;;
20N0,4%;0,00%;;
20N0,5%;0,00%;;
20N0,6%;0,00%;;
20N0,7%;0,00%;;
20N0,8%;0,00%;;
20N0,9%;0,00%;;
20N1,0%;0,00%;;
20N1,1%;0,00%;;
20N1,2%;0,00%;;
20N1,3%;0,00%;;
20N1,4%;0,00%;;
20N1,5%;0,00%;;
20N1,6%;0,00%;;
20N1,7%;0,00%;;
20N1,8%;0,00%;;
20N1,9%;0,00%;;
20N2,0%;0,00%;;
20N2,1%;0,00%;;
20N2,2%;0,00%;;
20N2,3%;0,00%;;
20N2,4%;0,00%;;
20N2,5%;0,00%;;
20N2,6%;0,00%;;
20N2,7%;0,00%;;
20N2,8%;0,00%;;
20N2,9%;0,00%;;
20N3,0%;0,00%;;
20N3,1%;0,00%;;
20N3,2%;0,00%;;
20N3,3%;0,00%;;
20N3,4%;0,00%;;
20N3,5%;0,00%;;
20N3,6%;0,00%;;
20N3,7%;0,00%;;
20N3,8%;0,00%;;
20N3,9%;0,00%;;
20N4,0%;0,00%;;
20N4,1%;0,00%;;
20N4,2%;0,00%;;
20N4,3%;0,00%;;
20N4,4%;0,00%;;
20N4,5%;0,00%;;
20N4,6%;0,00%;;
20N4,7%;0,00%;;
20N4,8%;0,00%;;
20N4,9%;0,00%;;
20N5,0%;0,00%;;
20N5,1%;0,00%;;
20N5,2%;0,00%;;
20N5,3%;0,00%;;
20N5,4%;0,00%;;
20N5,5%;0,00%;;
20N5,6%;0,00%;;
20N5,7%;0,00%;;
20N5,8%;0,00%;;
20N5,9%;0,00%;;
20N6,0%;0,00%;;
20N6,1%;0,00%;;
20N6,2%;0,00%;;
20N6,3%;0,00%;;
20N6,4%;0,00%;;
20N6,5%;0,00%;;
20N6,6%;0,00%;;
20N6,7%;0,00%;;
20N6,8%;0,00%;;
20N6,9%;0,00%;;
20N7,0%;0,00%;;
20N7,1%;0,00%;;
20N7,2%;0,00%;;
20N7,3%;0,00%;;
20N7,4%;0,00%;;
20N7,5%;0,00%;;
20N7,6%;0,00%;;
20N7,7%;0,00%;;
20N7,8%;0,00%;;
20N7,9%;0,00%;;
20N8,0%;0,00%;;
20N8,1%;0,00%;;
20N8,2%;0,00%;;
20N8,3%;0,00%;;
20N8,4%;0,00%;;
20N8,5%;0,00%;;
20N8,6%;0,00%;;
20N8,7%;0,00%;;
20N8,8%;0,00%;;
20N8,9%;0,00%;;
20N9,0%;0,00%;;
20N9,1%;0,00%;;
20N9,2%;0,00%;;
20N9,3%;0,00%;;
20N9,4%;0,00%;;
20N9,5%;0,00%;;
20N9,6%;0,00%;;
20N9,7%;0,00%;;
20N9,8%;0,00%;;
20N9,9%;0,00%;;
20N10,0%;0,00%;;
20N10,1%;0,00%;;
20N10,2%;0,00%;;
20N10,3%;0,00%;;
20N10,4%;0,00%;;
20N10,5%;0,00%;;
20N10,6%;0,00%;;
20N10,7%;0,00%;;
20N10,8%;0,00%;;
20N10,9%;0,07%;;
20N11,0%;0,16%;;
20N11,1%;0,25%;;
20N11,2%;0,34%;;
20N11,3%;0,43%;;
20N11,4%;0,52%;;
20N11,5%;0,61%;;
20N11,6%;0,70%;;
20N11,7%;0,79%;;
20N11,8%;0,88%;;
20N11,9%;0,97%;;
20N12,0%;1,06%;;
20N12,1%;1,15%;;
20N12,2%;1,24%;;
20N12,3%;1,33%;;
20N12,4%;1,42%;;
20N12,5%;1,51%;;
20N12,6%;1,60%;;
20N12,7%;1,69%;;
20N12,8%;1,78%;;
20N12,9%;1,87%;;
20N13,0%;1,96%;;
20N13,1%;2,05%;;
20N13,2%;2,14%;;
20N13,3%;2,23%;;
20N13,4%;2,32%;;
20N13,5%;2,41%;;
20N13,6%;2,50%;;
20N13,7%;2,59%;;
20N13,8%;2,68%;;
20N13,9%;2,77%;;
20N14,0%;2,86%;;
20N14,1%;2,95%;;
20N14,2%;3,04%;;
20N14,3%;3,13%;;
20N14,4%;3,22%;;
20N14,5%;3,31%;;
20N14,6%;3,40%;;
20N14,7%;3,49%;;
20N14,8%;3,58%;;
20N14,9%;3,67%;;
20N15,0%;3,76%;;
20N15,1%;3,85%;;
20N15,2%;3,94%;;
20N15,3%;4,03%;;
20N15,4%;4,12%;;
20N15,5%;4,21%;;
20N15,6%;4,30%;;
20N15,7%;4,39%;;
20N15,8%;4,48%;;
20N15,9%;4,57%;;
20N16,0%;4,66%;;
20N16,1%;4,75%;;
20N16,2%;4,84%;;
20N16,3%;4,93%;;
20N16,4%;5,02%;;
20N16,5%;5,11%;;
20N16,6%;5,20%;;
20N16,7%;5,29%;;
20N16,8%;5,38%;;
20N16,9%;5,47%;;
20N17,0%;5,56%;;
20N17,1%;5,65%;;
20N17,2%;5,74%;;
20N17,3%;5,83%;;
20N17,4%;5,92%;;
20N17,5%;6,01%;;
20N17,6%;6,10%;;
20N17,7%;6,19%;;
20N17,8%;6,28%;;
20N17,9%;6,37%;;
20N18,0%;6,46%;;
20N18,1%;6,55%;;
20N18,2%;6,64%;;
20N18,3%;6,73%;;
20N18,4%;6,82%;;
20N18,5%;6,91%;;
20N18,6%;7,00%;;
20N18,7%;7,09%;;
20N18,8%;7,18%;;
20N18,9%;7,27%;;
20N19,0%;7,36%;;
20N19,1%;7,45%;;
20N19,2%;7,54%;;
20N19,3%;7,63%;;
20N19,4%;7,72%;;
20N19,5%;7,81%;;
20N19,6%;7,90%;;
20N19,7%;7,99%;;
20N19,8%;8,08%;;
20N19,9%;8,17%;;
